Sport	State	CaptureDevice	Lat	Lon	DateTaken
football	DistrictofColumbia	nikon	38.889847	-76.971904	1229777258000
running	Texas	nikon	30.968052	-94.332187	1353153234000
baseball	Arkansas	nikon	35.360854	-93.538863	1367254375000
baseball	NewJersey	canon	39.917043	-74.859809	1247320634000
baseball	Florida	nikon	28.074649	-81.948072	1270666904000
baseball	Massachusetts	canon	42.224783	-71.713685	1282347300000
soccer	California	canon	34.142578	-118.188793	1237007194000
cycling	California	panasonic	36.80102	-121.678283	1318770306000
football	WestVirginia	nikon	39.434161	-77.805658	1352553495000
baseball	Maryland	canon	39.283555	-76.621414	1375632466000
running	Minnesota	nikon	46.779329	-92.098914	1253353388000
basketball	Arkansas	nikon	35.148525	-93.804407	1330201558000
lacrosse	NewYork	nikon	41.104219	-73.978075	1270138713000
hockey	Pennsylvania	canon	40.287448	-76.671137	1296394793000
cycling	California	panasonic	36.653295	-121.747212	1286098765000
cycling	California	panasonic	37.800739	-122.401342	1283762474000
running	NewYork	canon	40.656745	-73.83939	1351338778000
baseball	Illinois	canon	41.829873	-87.63369	1365252083000
hockey	California	canon	33.723933	-116.3058	1331334824000
football	NewYork	canon	40.862641	-73.700044	1284899177000
golf	Hawaii	canon	22.022675	-159.339952	1286167388000
baseball	Arkansas	other	35.774032	-91.626888	1329469633000
basketball	Oklahoma	other	36.86975	-95.096819	1290616683000
baseball	Maryland	other	39.283991	-76.6226	1245181230000
hockey	Arizona	panasonic	36.897333	-113.92	1308918320000
football	Maryland	canon	39.020434	-76.594619	1192278036000
golf	California	apple	32.760666	-117.176498	1366852408000
basketball	Arkansas	other	35.776225	-91.625247	1387044123000
running	Minnesota	nikon	44.982013	-93.269224	1340532219000
cycling	Illinois	nikon	42.130558	-87.762608	1281807716000
soccer	Maryland	nikon	38.190263	-76.425445	1332346993000
hockey	Oklahoma	canon	36.070825	-95.867643	1250538154000
basketball	Wisconsin	other	43.047016	-89.381589	1223718432000
baseball	Maryland	canon	39.283691	-76.622612	1368981736000
soccer	Minnesota	nikon	45.633598	-94.559819	1222191290000
golf	Maryland	canon	39.187329	-76.044402	1246719510000
soccer	Massachusetts	canon	42.670989	-73.098594	1287842943000
football	NorthCarolina	apple	35.909437	-75.670312	1275174654000
football	California	other	34.161321	-118.167609	1187050231000
cycling	Virginia	canon	38.9859	-77.473644	1365841269000
basketball	California	nikon	37.775605	-122.434837	1211106379000
basketball	SouthCarolina	canon	32.432742	-80.74316	1348868502000
running	NewYork	nikon	40.749596	-73.847072	1252541580000
basketball	California	other	36.265919	-121.804078	1346838679000
running	California	panasonic	37.336388	-121.889445	1276415991000
football	RhodeIsland	canon	41.55487	-71.252775	1335092571000
basketball	Massachusetts	sony	42.048236	-71.616998	1361909471000
golf	Illinois	apple	41.927245	-87.720042	1267431329000
cycling	California	canon	34.042591	-118.263359	1274536489000
cycling	Indiana	canon	39.37498	-87.444605	1362326255000
cycling	California	nikon	34.162315	-118.389015	1230426868000
soccer	Ohio	nikon	39.911333	-82.732667	1376596317000
baseball	Texas	other	29.75666	-95.355443	969105600000
baseball	Michigan	nikon	42.734882	-84.545867	1303761922000
hockey	DistrictofColumbia	canon	38.898314	-77.021219	1291674116000
running	California	canon	34.015672	-118.496196	1269160518000
basketball	Arkansas	other	35.776225	-91.625279	1361390364000
football	Washington	nikon	46.370192	-120.307974	1368897584000
running	DistrictofColumbia	sony	38.890499	-77.004798	1340879584000
basketball	Massachusetts	sony	42.106666	-71.653834	1294947744000
running	Louisiana	sony	30.22264	-92.018437	1272120885000
running	California	canon	33.996683	-118.327759	1367504558000
running	NewYork	nikon	40.757801	-73.985703	1275321877000
hockey	Oklahoma	canon	36.070938	-95.867675	1266609885000
cycling	Connecticut	nikon	41.523431	-72.895456	1384607012000
golf	Arizona	canon	33.549192	-111.916952	1223540261000
football	California	canon	37.870843	-122.250618	1284212141000
cycling	California	panasonic	37.800739	-122.401342	1283775878000
hockey	Utah	canon	40.682208	-111.470503	1281792831000
baseball	Georgia	canon	32.612619	-83.609679	1188324728000
golf	California	other	32.731944	-117.151945	1366907849000
basketball	Connecticut	apple	41.527	-73.150167	1367657982000
cycling	California	nikon	37.78781	-122.407726	1212855106000
football	Minnesota	nikon	44.973982	-93.258379	1314910953000
running	NewYork	canon	44.287094	-73.985214	1311523871000
basketball	Texas	other	29.573233	-95.352272	1283087954000
basketball	California	canon	33.885433	-118.096659	1219848008000
hockey	Ohio	sony	39.969251	-83.00571	1198952116000
hockey	NewYork	canon	40.748931	-74.010601	1216506774000
cycling	Washington	canon	47.651975	-122.352966	1276950424000
golf	California	other	36.567072	-121.947019	1275633894000
cycling	Massachusetts	nikon	42.504922	-73.03727	1311426872000
golf	Hawaii	other	20.67254	-156.44205	1161449370000
basketball	Massachusetts	sony	42.381166	-71.060834	1328981415000
hockey	Virginia	canon	38.87914	-77.110784	1296897627000
running	NorthCarolina	canon	35.775973	-78.720624	1158169611000
soccer	Kansas	nikon	38.881401	-94.819099	1284814415000
cycling	California	sony	37.771001	-122.432139	1259850846000
baseball	Arkansas	other	35.77411	-91.626448	1361715976000
soccer	Washington	canon	46.593504	-120.538479	1317479814000
basketball	California	canon	40.8758	-124.075276	1143067182000
soccer	Washington	canon	47.470824	-122.247855	1209201376000
baseball	Mississippi	canon	32.240882	-90.299892	1330791387000
soccer	California	nikon	37.340667	-121.989669	1218211585000
baseball	Michigan	nikon	42.735669	-84.54621	1208464658000
baseball	California	canon	37.27507	-121.82608	1275124580000
cycling	Texas	canon	31.76145	-106.489105	1201446892000
baseball	Ohio	canon	39.977654	-83.008811	1215179230000
baseball	Pennsylvania	nikon	39.901102	-75.172147	1194734739000
basketball	DistrictofColumbia	nikon	38.89793	-77.021033	1332702420000
hockey	California	canon	34.596052	-120.137171	1203658573000
basketball	Oklahoma	canon	36.434471	-97.8787	1267142441000
running	NewYork	canon	40.759244	-73.984937	1341439997000
football	SouthCarolina	sony	32.818832	-80.077661	1314300856000
football	Illinois	canon	41.76483	-87.805631	1212872150000
running	DistrictofColumbia	apple	38.888666	-77.006	1360419287000
hockey	Pennsylvania	nikon	39.906345	-75.171718	1239919079000
hockey	DistrictofColumbia	canon	38.898314	-77.021219	1290291899000
baseball	Pennsylvania	canon	40.064999	-75.208674	1367153136000
football	Georgia	nikon	33.772585	-84.393271	1382187590000
football	Washington	canon	47.649806	-122.302122	1252191445000
running	Colorado	nikon	40.0145	-105.277334	1384006350000
golf	Georgia	canon	33.324647	-84.985427	1157381437000
hockey	California	canon	33.988422	-118.475714	1339785071000
hockey	Oklahoma	canon	36.152611	-95.995026	1229801717000
basketball	SouthCarolina	canon	32.856436	-79.916342	1329508259000
cycling	Arkansas	nikon	34.753072	-92.265672	1341150096000
running	Washington	other	47.622989	-122.320833	1182599540000
lacrosse	Minnesota	canon	44.846711	-93.577294	1280588439000
basketball	SouthCarolina	canon	33.712479	-78.934514	1211569201000
running	Maryland	canon	39.299726	-76.615862	1339861851000
football	Tennessee	canon	36.161542	-86.864304	1161181446000
soccer	Arkansas	canon	34.811624	-92.465229	1314990234000
basketball	Massachusetts	sony	42.130333	-71.538834	1299360166000
baseball	Wisconsin	apple	43.028167	-87.971167	1317474437000
hockey	Pennsylvania	nikon	41.239816	-77.004178	1350776754000
football	California	nikon	37.713701	-122.386193	1378657261000
golf	Oregon	canon	45.004781	-122.795133	1176645332000
basketball	Arkansas	other	35.77626	-91.6253	1328365254000
running	Illinois	canon	41.970132	-88.013062	1285969688000
golf	Massachusetts	canon	42.224783	-71.713685	1310807536000
basketball	NewYork	nikon	40.750621	-73.993542	1165696960000
baseball	California	canon	33.72393	-116.305906	1394194280000
basketball	Nebraska	canon	42.23627	-97.01786	1331277146000
hockey	California	other	37.790251	-122.44812	1229692388000
running	NewHampshire	sony	42.88414	-71.275874	1390736092000
basketball	Arkansas	canon	34.812147	-92.465429	1320349135000
hockey	Illinois	canon	42.177509	-87.924141	1303058693000
golf	Pennsylvania	other	40.795488	-77.862339	1322555375000
football	Arkansas	canon	34.811624	-92.465229	1284759161000
baseball	Michigan	nikon	42.73207	-84.488146	1398522786000
football	Ohio	other	39.629969	-82.544875	1380827262000
basketball	Oklahoma	canon	36.364679	-96.014531	1246656792000
basketball	Texas	other	29.904953	-95.688493	1289728404000
basketball	Virginia	canon	37.28442	-82.063493	1157750367000
football	Massachusetts	other	42.567952	-71.135669	1210435985000
golf	Pennsylvania	canon	40.779534	-77.798641	1369651933000
soccer	SouthCarolina	nikon	32.8709	-79.91984	1297482535000
soccer	Oklahoma	canon	36.109128	-95.983713	1241879473000
football	Connecticut	canon	41.136568	-73.366613	1379858164000
baseball	Massachusetts	other	42.346645	-71.098838	1244655406000
running	Louisiana	other	29.961388	-90.065016	1236992727000
running	Pennsylvania	nikon	39.91929	-75.391852	1352722829000
running	California	canon	37.145916	-121.656675	1211805343000
football	California	canon	37.868892	-122.255854	1280519330000
hockey	California	canon	33.80832	-117.877507	1294857157000
running	Michigan	other	44.712891	-83.272333	1251546161000
hockey	Massachusetts	panasonic	42.59587	-71.533688	1361051481000
running	Massachusetts	nikon	42.57048	-71.602879	1339860794000
baseball	Michigan	nikon	42.341853	-85.150501	1153428750000
golf	Maryland	other	38.997399	-77.025232	1177865746000
baseball	Washington	apple	47.650333	-122.301166	1284824536000
hockey	Oklahoma	canon	36.152611	-95.995026	1264892387000
baseball	Wisconsin	canon	43.030062	-87.975854	1215805216000
running	NewYork	other	40.774643	-73.975045	1309081912000
running	Georgia	sony	33.766652	-84.338264	1380368528000
baseball	California	other	34.073748	-118.240313	1243451422000
hockey	Massachusetts	canon	42.346682	-71.097217	1263050319000
baseball	Michigan	nikon	43.040557	-85.659681	1333951978000
football	Illinois	canon	42.037833	-88.061834	1318622910000
cycling	Connecticut	sony	41.692142	-72.861156	1174726399000
baseball	California	nikon	37.751935	-122.201163	1341298896000
basketball	RhodeIsland	sony	41.6385	-71.484	1306068015000
football	Arkansas	canon	34.811624	-92.465229	1284752983000
lacrosse	Pennsylvania	nikon	40.723952	-76.189195	1379724774000
basketball	California	canon	33.885433	-118.096659	1224874264000
running	California	canon	34.015672	-118.496196	1269158349000
basketball	SouthCarolina	sony	32.856436	-79.916342	1322939081000
running	California	panasonic	34.222358	-118.45192	1341086561000
running	NewYork	nikon	40.793688	-73.95502	1244887319000
soccer	Arkansas	other	35.775111	-91.625761	1347715245000
soccer	Michigan	nikon	43.009986	-83.717998	1287242439000
lacrosse	Wisconsin	canon	43.069851	-89.412692	1155418100000
hockey	California	canon	34.043325	-118.267049	1338998256000
hockey	Connecticut	other	41.760044	-72.61877	1298149819000
football	NorthCarolina	nikon	35.907641	-79.046888	1333804275000
baseball	NewHampshire	canon	43.334004	-70.989343	1277489375000
soccer	Indiana	apple	39.957471	-85.957107	1286724264000
soccer	Arkansas	canon	36.17089	-94.155267	1310201500000
hockey	Massachusetts	nikon	42.358718	-71.096713	1358689376000
football	Washington	nikon	47.600744	-122.034265	1289072283000
football	Pennsylvania	sony	40.811405	-77.857832	1163265337000
running	NewYork	sony	40.747793	-73.952665	1289146071000
football	Minnesota	canon	44.96498	-93.238595	1224341790000
basketball	Massachusetts	sony	42.252333	-71.823834	1298220478000
baseball	Pennsylvania	sony	39.959057	-75.995073	1273516976000
golf	NewHampshire	nikon	43.706701	-72.289127	1182013023000
baseball	California	nikon	37.77819	-122.390103	1343514472000
running	Pennsylvania	apple	39.954666	-75.179733	1285430740000
football	DistrictofColumbia	canon	38.890022	-77.025985	1228569650000
baseball	Maryland	other	39.701809	-77.330564	1120296197000
hockey	DistrictofColumbia	nikon	38.897896	-77.021053	1208899326000
baseball	DistrictofColumbia	nikon	38.872934	-77.007615	1246656966000
baseball	Arkansas	other	35.773192	-91.621491	1190282417000
soccer	Minnesota	canon	44.968395	-93.165392	1223134823000
basketball	California	canon	37.484427	-122.236504	1240139613000
hockey	NewYork	nikon	40.767872	-73.963952	1274565433000
cycling	Pennsylvania	canon	40.028969	-75.220336	1181467576000
cycling	NorthCarolina	other	35.066383	-78.842535	1149321317000
basketball	Arkansas	nikon	35.308296	-93.917419	1355164469000
running	California	canon	34.040196	-118.270225	1278151819000
cycling	NorthCarolina	other	35.592735	-82.547718	1346921847000
basketball	Arkansas	other	35.776234	-91.625257	1378235345000
basketball	Virginia	nikon	36.839394	-76.000885	1291830654000
running	Massachusetts	nikon	42.353536	-71.054212	1318785495000
basketball	Arkansas	other	35.776204	-91.625365	1199996570000
basketball	Arkansas	nikon	35.308497	-93.917484	1353097455000
cycling	Michigan	other	42.503063	-83.172383	1282386819000
running	Indiana	canon	40.432428	-86.916038	1298736047000
running	DistrictofColumbia	canon	38.921806	-77.036154	1338753834000
running	California	other	37.776439	-122.394454	1204301227000
golf	NewYork	nikon	43.738514	-74.913175	1151780186000
soccer	Texas	apple	30.117297	-97.87375	1381242004000
football	Kansas	nikon	38.781086	-95.653023	1221857534000
lacrosse	Pennsylvania	nikon	39.972943	-75.192049	1275730844000
hockey	Pennsylvania	other	40.517257	-80.148525	1326710177000
baseball	Colorado	other	39.71218	-104.998585	1357406375000
hockey	NewYork	canon	40.749744	-73.847073	1378575644000
golf	Hawaii	canon	21.366933	-157.939796	1294745102000
baseball	Arkansas	other	35.773187	-91.621567	1077983666000
running	Massachusetts	other	42.336426	-71.186925	1398083064000
soccer	NewYork	other	41.289931	-73.812847	1316961569000
golf	California	canon	34.022857	-118.352837	1304088509000
cycling	Pennsylvania	nikon	40.587958	-75.392636	1349514522000
cycling	California	canon	36.654415	-121.751092	1361016266000
running	Illinois	canon	41.964659	-87.643089	1222509905000
hockey	NewYork	canon	43.308483	-73.642852	1326570026000
soccer	Virginia	nikon	36.870436	-76.183992	1331390835000
basketball	California	other	36.667812	-121.806562	1304798032000
soccer	Massachusetts	sony	42.107166	-71.650501	1317141986000
basketball	Arkansas	other	35.776217	-91.625247	1347300936000
running	Virginia	canon	37.522274	-77.404638	1393776798000
cycling	DistrictofColumbia	nikon	38.913752	-76.972273	1352042110000
cycling	Florida	other	30.173253	-85.800905	1289039018000
baseball	Florida	nikon	27.971283	-82.731664	1267975565000
baseball	Washington	sony	47.671149	-122.192296	1302363644000
baseball	Michigan	nikon	42.341853	-85.150501	1148408446000
football	Florida	canon	28.833055	-82.34	1288433492000
baseball	Arkansas	nikon	35.308672	-93.920831	1316683852000
baseball	NewYork	canon	43.262964	-79.063925	1346529355000
