Sport	State	CaptureDevice	Lat	Lon	DateTaken
football	DistrictofColumbia	nikon	38.889847	-76.971904	1229777258000
running	Texas	nikon	30.968052	-94.332187	1353153234000
other	California	canon	34.078469	-116.142525	1191594489000
other	Wisconsin	other	44.530957	-87.919918	1356083112000
baseball	Arkansas	nikon	35.360854	-93.538863	1367254375000
extreme	Hawaii	other	21.301649	-157.875852	1070236800000
extreme	Oregon	other	45.586961	-122.739002	1359719681000
other	NewYork	apple	41.789	-74.118667	1366223873000
baseball	NewJersey	canon	39.917043	-74.859809	1247320634000
other	NorthDakota	sony	48.61815	-97.448002	1244222192000
other	NewYork	other	43.036336	-76.136541	1187434800000
other	Massachusetts	nikon	42.573626	-71.602792	1333809226000
other	NewYork	apple	40.732833	-74.003333	1223671661000
baseball	Florida	nikon	28.074649	-81.948072	1270666904000
other	Florida	nikon	29.952852	-81.980838	1204580048000
extreme	Texas	canon	32.780139	-96.765453	1228934092000
baseball	Massachusetts	canon	42.224783	-71.713685	1282347300000
soccer	California	canon	34.142578	-118.188793	1237007194000
cycling	California	panasonic	36.80102	-121.678283	1318770306000
extreme	Massachusetts	sony	42.106666	-71.653667	1295467835000
football	WestVirginia	nikon	39.434161	-77.805658	1352553495000
baseball	Maryland	canon	39.283555	-76.621414	1375632466000
running	Minnesota	nikon	46.779329	-92.098914	1253353388000
extreme	California	canon	37.787742	-122.407511	1229635476000
basketball	Arkansas	nikon	35.148525	-93.804407	1330201558000
lacrosse	NewYork	nikon	41.104219	-73.978075	1270138713000
hockey	Pennsylvania	canon	40.287448	-76.671137	1296394793000
extreme	Tennessee	canon	36.324245	-82.375005	1178315983000
other	California	apple	37.371666	-122.106167	1272717174000
cycling	California	panasonic	36.653295	-121.747212	1286098765000
other	Texas	canon	31.759954	-106.487989	1211221879000
other	California	canon	37.773827	-122.412854	1185726315000
other	Maryland	panasonic	39.282	-76.611742	1318778998000
extreme	Oregon	canon	45.215919	-123.970648	1340990165000
cycling	California	panasonic	37.800739	-122.401342	1283762474000
other	NewYork	other	40.768207	-73.979508	1353257168000
running	NewYork	canon	40.656745	-73.83939	1351338778000
baseball	Illinois	canon	41.829873	-87.63369	1365252083000
other	Georgia	other	31.215833	-82.3605	1324923470000
extreme	California	canon	34.375586	-117.692102	1389384606000
extreme	California	panasonic	32.716225	-117.15963	1298254568000
hockey	California	canon	33.723933	-116.3058	1331334824000
football	NewYork	canon	40.862641	-73.700044	1284899177000
extreme	Illinois	sony	41.890976	-87.60976	1175261158000
golf	Hawaii	canon	22.022675	-159.339952	1286167388000
extreme	Virginia	panasonic	37.710035	-77.201957	1155382984000
extreme	California	canon	34.024986	-118.27806	1245236197000
other	Michigan	nikon	42.453833	-83.113834	1302372253000
other	Arizona	other	32.227691	-110.972595	1398210864000
baseball	Arkansas	other	35.774032	-91.626888	1329469633000
basketball	Oklahoma	other	36.86975	-95.096819	1290616683000
other	Florida	canon	28.604115	-80.702133	1173935936000
other	Pennsylvania	panasonic	40.242846	-75.65752	1249121362000
baseball	Maryland	other	39.283991	-76.6226	1245181230000
other	NewYork	nikon	40.759124	-73.97882	1387847573000
hockey	Arizona	panasonic	36.897333	-113.92	1308918320000
other	Arizona	sony	33.662996	-112.48558	1139744327000
extreme	Pennsylvania	canon	41.753969	-76.961374	1217693157000
football	Maryland	canon	39.020434	-76.594619	1192278036000
extreme	Minnesota	canon	44.802666	-93.7245	1235754026000
extreme	NewYork	sony	40.799065	-73.975871	1312117030000
other	California	other	34.061073	-118.278633	1133801880000
golf	California	apple	32.760666	-117.176498	1366852408000
extreme	Michigan	other	47.10685	-88.545169	1168094097000
other	NewJersey	apple	40.374333	-74.550167	1364320826000
basketball	Arkansas	other	35.776225	-91.625247	1387044123000
other	California	other	37.790251	-122.44812	1214749021000
other	Michigan	other	42.940756	-82.456843	1212933354000
other	Massachusetts	canon	42.377129	-71.097679	1277033479000
other	NorthCarolina	nikon	35.11043	-75.979171	1378917392000
extreme	SouthCarolina	canon	32.162534	-80.806846	1311032749000
other	Oklahoma	panasonic	35.566793	-96.111059	1242678473000
other	California	apple	34.423356	-118.595974	1305116517000
other	Utah	other	40.583061	-111.652164	1173955251000
other	DistrictofColumbia	canon	38.889229	-77.026519	1377277462000
extreme	Tennessee	sony	35.587984	-87.031792	1281788533000
other	Indiana	canon	38.535964	-85.857188	1145543737000
other	DistrictofColumbia	canon	38.892343	-77.021917	1288440856000
other	Illinois	nikon	41.88924	-87.628753	1310817460000
running	Minnesota	nikon	44.982013	-93.269224	1340532219000
cycling	Illinois	nikon	42.130558	-87.762608	1281807716000
extreme	Kentucky	canon	38.239487	-85.75956	1337890522000
other	California	canon	32.705898	-117.161214	1311332188000
other	Minnesota	other	46.386964	-93.847274	1170083241000
other	NorthCarolina	panasonic	36.095718	-78.473968	1223741328000
extreme	California	canon	37.758755	-122.403895	1206202522000
other	Oregon	canon	45.511012	-122.686874	1329332310000
soccer	Maryland	nikon	38.190263	-76.425445	1332346993000
hockey	Oklahoma	canon	36.070825	-95.867643	1250538154000
basketball	Wisconsin	other	43.047016	-89.381589	1223718432000
baseball	Maryland	canon	39.283691	-76.622612	1368981736000
soccer	Minnesota	nikon	45.633598	-94.559819	1222191290000
extreme	Texas	other	32.783499	-96.805	1260633852000
extreme	NewYork	other	40.822805	-72.833122	932169651000
extreme	Michigan	other	42.581526	-83.635396	1306392370000
other	California	other	32.706837	-117.161164	1311186479000
other	Maryland	canon	39.446318	-76.632428	1188731698000
extreme	California	canon	37.337017	-121.803478	1215414264000
extreme	Massachusetts	canon	42.558544	-71.18209	1288608744000
golf	Maryland	canon	39.187329	-76.044402	1246719510000
other	Pennsylvania	canon	40.635749	-75.424544	1231845295000
other	Michigan	nikon	42.341839	-85.150469	1370289284000
other	NewYork	panasonic	40.722209	-73.986778	1177456221000
other	SouthCarolina	panasonic	32.141606	-80.748428	1274164622000
soccer	Massachusetts	canon	42.670989	-73.098594	1287842943000
extreme	Virginia	canon	37.522274	-77.404638	1382277307000
other	Maine	other	43.34041	-70.460085	681004800000
extreme	Vermont	nikon	42.839699	-72.734432	1047048551000
football	NorthCarolina	apple	35.909437	-75.670312	1275174654000
football	California	other	34.161321	-118.167609	1187050231000
cycling	Virginia	canon	38.9859	-77.473644	1365841269000
other	California	canon	32.750009	-117.159948	1373719640000
basketball	California	nikon	37.775605	-122.434837	1211106379000
other	California	other	38.450597	-123.129336	1331491161000
extreme	Delaware	canon	39.664277	-75.751306	1160814963000
basketball	SouthCarolina	canon	32.432742	-80.74316	1348868502000
running	NewYork	nikon	40.749596	-73.847072	1252541580000
other	California	other	37.474858	-122.448549	1360468811000
basketball	California	other	36.265919	-121.804078	1346838679000
other	DistrictofColumbia	other	38.894623	-77.027399	1215262528000
running	California	panasonic	37.336388	-121.889445	1276415991000
football	RhodeIsland	canon	41.55487	-71.252775	1335092571000
other	NewYork	canon	43.138733	-79.036535	1208807613000
other	Washington	canon	47.595927	-122.330478	1222012447000
other	Pennsylvania	other	40.817057	-77.784919	1179423431000
other	Wisconsin	sony	42.585981	-87.88232	1170442920000
basketball	Massachusetts	sony	42.048236	-71.616998	1361909471000
golf	Illinois	apple	41.927245	-87.720042	1267431329000
other	Oklahoma	sony	35.881122	-97.424526	1232869919000
cycling	California	canon	34.042591	-118.263359	1274536489000
extreme	Minnesota	other	44.912539	-93.239486	1233044876000
extreme	Ohio	other	41.66355	-82.819232	1302683808000
extreme	California	other	33.663977	-118.013337	1362242327000
other	Michigan	other	42.460779	-83.134338	1333743575000
cycling	Indiana	canon	39.37498	-87.444605	1362326255000
extreme	Oregon	other	44.165736	-121.926012	1285334373000
other	Washington	other	47.548146	-120.745067	1158404839000
other	Arkansas	other	35.77707	-91.626266	1130333154000
other	California	nikon	36.970055	-122.031583	1334859839000
other	California	canon	34.463249	-120.03654	1307178075000
cycling	California	nikon	34.162315	-118.389015	1230426868000
other	Indiana	panasonic	39.375469	-86.17665	1276825799000
extreme	Nevada	other	40.754945	-119.236679	1189168524000
other	Louisiana	other	29.923372	-90.124664	1365707119000
other	Virginia	nikon	38.964606	-77.315184	1228645360000
soccer	Ohio	nikon	39.911333	-82.732667	1376596317000
other	California	canon	37.78563	-122.430503	1335105493000
other	Florida	other	25.796181	-80.255126	1360529958000
baseball	Texas	other	29.75666	-95.355443	969105600000
other	California	nikon	37.808258	-122.418787	1394827733000
extreme	Louisiana	other	29.956556	-90.066196	1180785082000
extreme	Oregon	other	45.512342	-122.648942	1360962708000
other	Iowa	other	41.408103	-92.914825	1223160928000
extreme	Washington	canon	48.855623	-121.684055	1243166442000
other	Connecticut	other	41.769199	-72.681797	1247040210000
other	NorthCarolina	canon	34.925489	-80.743246	1309101235000
extreme	Missouri	other	39.113013	-94.595031	1302620635000
baseball	Michigan	nikon	42.734882	-84.545867	1303761922000
other	California	canon	33.87054	-117.928662	1136372120000
hockey	DistrictofColumbia	canon	38.898314	-77.021219	1291674116000
other	Nevada	canon	40.769288	-119.220037	1283546801000
other	Kansas	nikon	38.057282	-97.963714	1337688711000
other	Virginia	other	37.553695	-77.481218	1305229741000
other	Massachusetts	nikon	42.358607	-71.041138	1284841266000
running	California	canon	34.015672	-118.496196	1269160518000
basketball	Arkansas	other	35.776225	-91.625279	1361390364000
extreme	California	apple	36.546666	-121.929666	1319361554000
other	California	nikon	34.158839	-118.306934	1248522219000
football	Washington	nikon	46.370192	-120.307974	1368897584000
running	DistrictofColumbia	sony	38.890499	-77.004798	1340879584000
other	Virginia	canon	38.231948	-78.176307	1289046536000
other	Illinois	canon	41.950202	-87.71363	1307810729000
extreme	Texas	other	32.784532	-96.780635	1112486408000
other	California	canon	37.23614	-122.416293	1131554548000
other	Pennsylvania	sony	40.246875	-76.476709	1306821199000
other	Maryland	panasonic	39.27567	-77.527137	1339431664000
other	Washington	apple	47.633666	-122.340834	1376848342000
basketball	Massachusetts	sony	42.106666	-71.653834	1294947744000
other	California	canon	33.650333	-117.988572	1273331863000
extreme	Montana	apple	48.417166	-114.351	1341440767000
other	DistrictofColumbia	canon	38.904609	-77.02314	1327857418000
running	Louisiana	sony	30.22264	-92.018437	1272120885000
other	NorthCarolina	other	36.340066	-80.482352	1079191019000
running	California	canon	33.996683	-118.327759	1367504558000
extreme	California	canon	32.782295	-117.120695	1288533249000
running	NewYork	nikon	40.757801	-73.985703	1275321877000
hockey	Oklahoma	canon	36.070938	-95.867675	1266609885000
cycling	Connecticut	nikon	41.523431	-72.895456	1384607012000
other	NewHampshire	other	43.255299	-72.433505	1067104440000
golf	Arizona	canon	33.549192	-111.916952	1223540261000
football	California	canon	37.870843	-122.250618	1284212141000
cycling	California	panasonic	37.800739	-122.401342	1283775878000
other	Florida	canon	27.452311	-81.353973	1363358330000
other	Georgia	canon	34.149761	-83.813023	1286012838000
other	Iowa	canon	41.229039	-92.489905	1273945608000
extreme	Washington	canon	47.41127	-120.274673	1316101279000
hockey	Utah	canon	40.682208	-111.470503	1281792831000
baseball	Georgia	canon	32.612619	-83.609679	1188324728000
golf	California	other	32.731944	-117.151945	1366907849000
extreme	Illinois	canon	42.005547	-88.307515	1346592286000
other	Alabama	other	33.53492	-86.616146	1207383616000
basketball	Connecticut	apple	41.527	-73.150167	1367657982000
cycling	California	nikon	37.78781	-122.407726	1212855106000
other	SouthCarolina	canon	32.900222	-79.916267	1314467589000
football	Minnesota	nikon	44.973982	-93.258379	1314910953000
other	Minnesota	canon	44.94732	-93.319587	1219583212000
other	NewHampshire	nikon	43.359264	-71.464431	1319285460000
other	Illinois	nikon	41.793648	-88.010106	1282936706000
other	Texas	other	30.265155	-97.588278	1332000940000
extreme	California	nikon	37.480855	-122.224364	1335561723000
running	NewYork	canon	44.287094	-73.985214	1311523871000
basketball	Texas	other	29.573233	-95.352272	1283087954000
basketball	California	canon	33.885433	-118.096659	1219848008000
hockey	Ohio	sony	39.969251	-83.00571	1198952116000
other	Massachusetts	nikon	42.573728	-71.602761	1316962762000
hockey	NewYork	canon	40.748931	-74.010601	1216506774000
other	Massachusetts	nikon	42.573728	-71.602761	1316951941000
cycling	Washington	canon	47.651975	-122.352966	1276950424000
golf	California	other	36.567072	-121.947019	1275633894000
other	Maryland	other	39.285029	-76.622981	1316136575000
extreme	Washington	panasonic	47.446178	-121.418817	1386946955000
cycling	Massachusetts	nikon	42.504922	-73.03727	1311426872000
other	Minnesota	canon	44.980463	-93.169555	1308310415000
golf	Hawaii	other	20.67254	-156.44205	1161449370000
basketball	Massachusetts	sony	42.381166	-71.060834	1328981415000
other	Florida	panasonic	28.3715	-81.5505	1292240462000
other	NorthCarolina	other	36.447281	-78.372559	599616000000
extreme	NorthCarolina	nikon	36.125631	-80.27167	1339610700000
other	Oregon	nikon	44.057492	-123.37463	1184529187000
extreme	Michigan	other	42.259159	-83.738372	1356011693000
other	DistrictofColumbia	canon	38.94028	-77.051904	1169299613000
hockey	Virginia	canon	38.87914	-77.110784	1296897627000
running	NorthCarolina	canon	35.775973	-78.720624	1158169611000
other	California	canon	32.714447	-117.161325	1311275799000
extreme	Virginia	canon	38.81401	-77.242464	1247910761000
soccer	Kansas	nikon	38.881401	-94.819099	1284814415000
cycling	California	sony	37.771001	-122.432139	1259850846000
other	California	apple	37.778635	-122.389583	1189254798000
baseball	Arkansas	other	35.77411	-91.626448	1361715976000
soccer	Washington	canon	46.593504	-120.538479	1317479814000
other	NewYork	sony	40.76824	-73.982019	1386190708000
basketball	California	canon	40.8758	-124.075276	1143067182000
soccer	Washington	canon	47.470824	-122.247855	1209201376000
baseball	Mississippi	canon	32.240882	-90.299892	1330791387000
other	Texas	other	29.360885	-95.046297	1207950478000
soccer	California	nikon	37.340667	-121.989669	1218211585000
extreme	California	nikon	36.656301	-121.801643	1269678250000
baseball	Michigan	nikon	42.735669	-84.54621	1208464658000
other	Oregon	canon	44.61134	-123.298575	1177847930000
other	Illinois	other	41.872564	-87.791662	1352133044000
other	Mississippi	nikon	30.912499	-89.4595	1237294026000
other	Kansas	nikon	38.955037	-95.248573	1200849423000
other	Wisconsin	sony	44.431343	-89.399689	1177779971000
extreme	NewYork	canon	40.815307	-73.948822	1327150483000
extreme	California	canon	37.243243	-119.191875	1277309919000
baseball	California	canon	37.27507	-121.82608	1275124580000
cycling	Texas	canon	31.76145	-106.489105	1201446892000
baseball	Ohio	canon	39.977654	-83.008811	1215179230000
