Sport	State	CaptureDevice	Lat	Lon	DateTaken
football	DistrictofColumbia	nikon	38.889847	-76.971904	1229777258000
running	Texas	nikon	30.968052	-94.332187	1353153234000
baseball	Arkansas	nikon	35.360854	-93.538863	1367254375000
extreme	Hawaii	other	21.301649	-157.875852	1070236800000
extreme	Oregon	other	45.586961	-122.739002	1359719681000
baseball	NewJersey	canon	39.917043	-74.859809	1247320634000
baseball	Florida	nikon	28.074649	-81.948072	1270666904000
extreme	Texas	canon	32.780139	-96.765453	1228934092000
baseball	Massachusetts	canon	42.224783	-71.713685	1282347300000
soccer	California	canon	34.142578	-118.188793	1237007194000
cycling	California	panasonic	36.80102	-121.678283	1318770306000
extreme	Massachusetts	sony	42.106666	-71.653667	1295467835000
football	WestVirginia	nikon	39.434161	-77.805658	1352553495000
baseball	Maryland	canon	39.283555	-76.621414	1375632466000
running	Minnesota	nikon	46.779329	-92.098914	1253353388000
extreme	California	canon	37.787742	-122.407511	1229635476000
basketball	Arkansas	nikon	35.148525	-93.804407	1330201558000
lacrosse	NewYork	nikon	41.104219	-73.978075	1270138713000
hockey	Pennsylvania	canon	40.287448	-76.671137	1296394793000
extreme	Tennessee	canon	36.324245	-82.375005	1178315983000
cycling	California	panasonic	36.653295	-121.747212	1286098765000
extreme	Oregon	canon	45.215919	-123.970648	1340990165000
cycling	California	panasonic	37.800739	-122.401342	1283762474000
running	NewYork	canon	40.656745	-73.83939	1351338778000
baseball	Illinois	canon	41.829873	-87.63369	1365252083000
extreme	California	canon	34.375586	-117.692102	1389384606000
extreme	California	panasonic	32.716225	-117.15963	1298254568000
hockey	California	canon	33.723933	-116.3058	1331334824000
football	NewYork	canon	40.862641	-73.700044	1284899177000
extreme	Illinois	sony	41.890976	-87.60976	1175261158000
golf	Hawaii	canon	22.022675	-159.339952	1286167388000
extreme	Virginia	panasonic	37.710035	-77.201957	1155382984000
extreme	California	canon	34.024986	-118.27806	1245236197000
baseball	Arkansas	other	35.774032	-91.626888	1329469633000
basketball	Oklahoma	other	36.86975	-95.096819	1290616683000
baseball	Maryland	other	39.283991	-76.6226	1245181230000
hockey	Arizona	panasonic	36.897333	-113.92	1308918320000
extreme	Pennsylvania	canon	41.753969	-76.961374	1217693157000
football	Maryland	canon	39.020434	-76.594619	1192278036000
extreme	Minnesota	canon	44.802666	-93.7245	1235754026000
extreme	NewYork	sony	40.799065	-73.975871	1312117030000
golf	California	apple	32.760666	-117.176498	1366852408000
extreme	Michigan	other	47.10685	-88.545169	1168094097000
basketball	Arkansas	other	35.776225	-91.625247	1387044123000
extreme	SouthCarolina	canon	32.162534	-80.806846	1311032749000
extreme	Tennessee	sony	35.587984	-87.031792	1281788533000
running	Minnesota	nikon	44.982013	-93.269224	1340532219000
cycling	Illinois	nikon	42.130558	-87.762608	1281807716000
extreme	Kentucky	canon	38.239487	-85.75956	1337890522000
extreme	California	canon	37.758755	-122.403895	1206202522000
soccer	Maryland	nikon	38.190263	-76.425445	1332346993000
hockey	Oklahoma	canon	36.070825	-95.867643	1250538154000
basketball	Wisconsin	other	43.047016	-89.381589	1223718432000
baseball	Maryland	canon	39.283691	-76.622612	1368981736000
soccer	Minnesota	nikon	45.633598	-94.559819	1222191290000
extreme	Texas	other	32.783499	-96.805	1260633852000
extreme	NewYork	other	40.822805	-72.833122	932169651000
extreme	Michigan	other	42.581526	-83.635396	1306392370000
extreme	California	canon	37.337017	-121.803478	1215414264000
extreme	Massachusetts	canon	42.558544	-71.18209	1288608744000
golf	Maryland	canon	39.187329	-76.044402	1246719510000
soccer	Massachusetts	canon	42.670989	-73.098594	1287842943000
extreme	Virginia	canon	37.522274	-77.404638	1382277307000
extreme	Vermont	nikon	42.839699	-72.734432	1047048551000
football	NorthCarolina	apple	35.909437	-75.670312	1275174654000
football	California	other	34.161321	-118.167609	1187050231000
cycling	Virginia	canon	38.9859	-77.473644	1365841269000
basketball	California	nikon	37.775605	-122.434837	1211106379000
extreme	Delaware	canon	39.664277	-75.751306	1160814963000
basketball	SouthCarolina	canon	32.432742	-80.74316	1348868502000
running	NewYork	nikon	40.749596	-73.847072	1252541580000
basketball	California	other	36.265919	-121.804078	1346838679000
running	California	panasonic	37.336388	-121.889445	1276415991000
football	RhodeIsland	canon	41.55487	-71.252775	1335092571000
basketball	Massachusetts	sony	42.048236	-71.616998	1361909471000
golf	Illinois	apple	41.927245	-87.720042	1267431329000
cycling	California	canon	34.042591	-118.263359	1274536489000
extreme	Minnesota	other	44.912539	-93.239486	1233044876000
extreme	Ohio	other	41.66355	-82.819232	1302683808000
extreme	California	other	33.663977	-118.013337	1362242327000
cycling	Indiana	canon	39.37498	-87.444605	1362326255000
extreme	Oregon	other	44.165736	-121.926012	1285334373000
cycling	California	nikon	34.162315	-118.389015	1230426868000
extreme	Nevada	other	40.754945	-119.236679	1189168524000
soccer	Ohio	nikon	39.911333	-82.732667	1376596317000
baseball	Texas	other	29.75666	-95.355443	969105600000
extreme	Louisiana	other	29.956556	-90.066196	1180785082000
extreme	Oregon	other	45.512342	-122.648942	1360962708000
extreme	Washington	canon	48.855623	-121.684055	1243166442000
extreme	Missouri	other	39.113013	-94.595031	1302620635000
baseball	Michigan	nikon	42.734882	-84.545867	1303761922000
hockey	DistrictofColumbia	canon	38.898314	-77.021219	1291674116000
running	California	canon	34.015672	-118.496196	1269160518000
basketball	Arkansas	other	35.776225	-91.625279	1361390364000
extreme	California	apple	36.546666	-121.929666	1319361554000
football	Washington	nikon	46.370192	-120.307974	1368897584000
running	DistrictofColumbia	sony	38.890499	-77.004798	1340879584000
extreme	Texas	other	32.784532	-96.780635	1112486408000
basketball	Massachusetts	sony	42.106666	-71.653834	1294947744000
extreme	Montana	apple	48.417166	-114.351	1341440767000
running	Louisiana	sony	30.22264	-92.018437	1272120885000
running	California	canon	33.996683	-118.327759	1367504558000
extreme	California	canon	32.782295	-117.120695	1288533249000
running	NewYork	nikon	40.757801	-73.985703	1275321877000
hockey	Oklahoma	canon	36.070938	-95.867675	1266609885000
cycling	Connecticut	nikon	41.523431	-72.895456	1384607012000
golf	Arizona	canon	33.549192	-111.916952	1223540261000
football	California	canon	37.870843	-122.250618	1284212141000
cycling	California	panasonic	37.800739	-122.401342	1283775878000
extreme	Washington	canon	47.41127	-120.274673	1316101279000
hockey	Utah	canon	40.682208	-111.470503	1281792831000
baseball	Georgia	canon	32.612619	-83.609679	1188324728000
golf	California	other	32.731944	-117.151945	1366907849000
extreme	Illinois	canon	42.005547	-88.307515	1346592286000
basketball	Connecticut	apple	41.527	-73.150167	1367657982000
cycling	California	nikon	37.78781	-122.407726	1212855106000
football	Minnesota	nikon	44.973982	-93.258379	1314910953000
extreme	California	nikon	37.480855	-122.224364	1335561723000
running	NewYork	canon	44.287094	-73.985214	1311523871000
basketball	Texas	other	29.573233	-95.352272	1283087954000
basketball	California	canon	33.885433	-118.096659	1219848008000
hockey	Ohio	sony	39.969251	-83.00571	1198952116000
hockey	NewYork	canon	40.748931	-74.010601	1216506774000
cycling	Washington	canon	47.651975	-122.352966	1276950424000
golf	California	other	36.567072	-121.947019	1275633894000
extreme	Washington	panasonic	47.446178	-121.418817	1386946955000
cycling	Massachusetts	nikon	42.504922	-73.03727	1311426872000
golf	Hawaii	other	20.67254	-156.44205	1161449370000
basketball	Massachusetts	sony	42.381166	-71.060834	1328981415000
extreme	NorthCarolina	nikon	36.125631	-80.27167	1339610700000
extreme	Michigan	other	42.259159	-83.738372	1356011693000
hockey	Virginia	canon	38.87914	-77.110784	1296897627000
running	NorthCarolina	canon	35.775973	-78.720624	1158169611000
extreme	Virginia	canon	38.81401	-77.242464	1247910761000
soccer	Kansas	nikon	38.881401	-94.819099	1284814415000
cycling	California	sony	37.771001	-122.432139	1259850846000
baseball	Arkansas	other	35.77411	-91.626448	1361715976000
soccer	Washington	canon	46.593504	-120.538479	1317479814000
basketball	California	canon	40.8758	-124.075276	1143067182000
soccer	Washington	canon	47.470824	-122.247855	1209201376000
baseball	Mississippi	canon	32.240882	-90.299892	1330791387000
soccer	California	nikon	37.340667	-121.989669	1218211585000
extreme	California	nikon	36.656301	-121.801643	1269678250000
baseball	Michigan	nikon	42.735669	-84.54621	1208464658000
extreme	NewYork	canon	40.815307	-73.948822	1327150483000
extreme	California	canon	37.243243	-119.191875	1277309919000
baseball	California	canon	37.27507	-121.82608	1275124580000
cycling	Texas	canon	31.76145	-106.489105	1201446892000
baseball	Ohio	canon	39.977654	-83.008811	1215179230000
baseball	Pennsylvania	nikon	39.901102	-75.172147	1194734739000
basketball	DistrictofColumbia	nikon	38.89793	-77.021033	1332702420000
extreme	California	panasonic	32.7629	-117.16655	1383994983000
extreme	California	apple	37.7145	-122.382834	1373094081000
hockey	California	canon	34.596052	-120.137171	1203658573000
basketball	Oklahoma	canon	36.434471	-97.8787	1267142441000
extreme	Texas	canon	33.196609	-97.084937	1390653777000
running	NewYork	canon	40.759244	-73.984937	1341439997000
football	SouthCarolina	sony	32.818832	-80.077661	1314300856000
football	Illinois	canon	41.76483	-87.805631	1212872150000
running	DistrictofColumbia	apple	38.888666	-77.006	1360419287000
hockey	Pennsylvania	nikon	39.906345	-75.171718	1239919079000
hockey	DistrictofColumbia	canon	38.898314	-77.021219	1290291899000
baseball	Pennsylvania	canon	40.064999	-75.208674	1367153136000
extreme	NewYork	canon	40.817035	-73.948295	1327151291000
football	Georgia	nikon	33.772585	-84.393271	1382187590000
football	Washington	canon	47.649806	-122.302122	1252191445000
running	Colorado	nikon	40.0145	-105.277334	1384006350000
golf	Georgia	canon	33.324647	-84.985427	1157381437000
hockey	California	canon	33.988422	-118.475714	1339785071000
hockey	Oklahoma	canon	36.152611	-95.995026	1229801717000
extreme	Pennsylvania	canon	39.953601	-75.156509	1338670690000
basketball	SouthCarolina	canon	32.856436	-79.916342	1329508259000
cycling	Arkansas	nikon	34.753072	-92.265672	1341150096000
running	Washington	other	47.622989	-122.320833	1182599540000
lacrosse	Minnesota	canon	44.846711	-93.577294	1280588439000
basketball	SouthCarolina	canon	33.712479	-78.934514	1211569201000
extreme	Missouri	canon	39.042577	-94.587507	1340371966000
running	Maryland	canon	39.299726	-76.615862	1339861851000
football	Tennessee	canon	36.161542	-86.864304	1161181446000
soccer	Arkansas	canon	34.811624	-92.465229	1314990234000
extreme	Texas	nikon	29.75293	-95.359375	1246097526000
extreme	Michigan	nikon	42.569548	-83.814761	1332020450000
extreme	California	apple	37.854666	-122.478834	1360417614000
basketball	Massachusetts	sony	42.130333	-71.538834	1299360166000
baseball	Wisconsin	apple	43.028167	-87.971167	1317474437000
hockey	Pennsylvania	nikon	41.239816	-77.004178	1350776754000
extreme	Alabama	other	32.92578	-85.851374	1153221606000
extreme	Colorado	canon	38.264433	-104.620528	1208965031000
extreme	Michigan	other	42.865301	-83.588705	1190465363000
football	California	nikon	37.713701	-122.386193	1378657261000
golf	Oregon	canon	45.004781	-122.795133	1176645332000
basketball	Arkansas	other	35.77626	-91.6253	1328365254000
extreme	NewHampshire	other	43.430031	-71.824793	1360754414000
extreme	NorthCarolina	other	35.218977	-80.829205	1271188812000
extreme	Washington	panasonic	47.202423	-121.988013	1274559272000
extreme	Hawaii	other	21.666232	-158.050668	1296848883000
extreme	California	nikon	37.763206	-122.434371	1274991081000
running	Illinois	canon	41.970132	-88.013062	1285969688000
golf	Massachusetts	canon	42.224783	-71.713685	1310807536000
basketball	NewYork	nikon	40.750621	-73.993542	1165696960000
extreme	California	canon	37.414345	-122.04613	1063546979000
baseball	California	canon	33.72393	-116.305906	1394194280000
basketball	Nebraska	canon	42.23627	-97.01786	1331277146000
extreme	Oklahoma	canon	36.152611	-95.995026	1264352389000
hockey	California	other	37.790251	-122.44812	1229692388000
running	NewHampshire	sony	42.88414	-71.275874	1390736092000
basketball	Arkansas	canon	34.812147	-92.465429	1320349135000
hockey	Illinois	canon	42.177509	-87.924141	1303058693000
extreme	Georgia	other	34.493965	-83.997194	1348401096000
extreme	Montana	nikon	48.668036	-113.615101	1185551038000
golf	Pennsylvania	other	40.795488	-77.862339	1322555375000
extreme	Illinois	canon	42.193806	-87.802594	1236705581000
football	Arkansas	canon	34.811624	-92.465229	1284759161000
extreme	Ohio	nikon	39.10083	-84.515419	1321448715000
baseball	Michigan	nikon	42.73207	-84.488146	1398522786000
football	Ohio	other	39.629969	-82.544875	1380827262000
extreme	NewMexico	other	32.750421	-106.343557	1294397656000
basketball	Oklahoma	canon	36.364679	-96.014531	1246656792000
basketball	Texas	other	29.904953	-95.688493	1289728404000
basketball	Virginia	canon	37.28442	-82.063493	1157750367000
extreme	SouthCarolina	canon	34.792871	-81.189565	1182003437000
football	Massachusetts	other	42.567952	-71.135669	1210435985000
golf	Pennsylvania	canon	40.779534	-77.798641	1369651933000
extreme	Virginia	other	37.055117	-79.54109	1139173836000
extreme	California	canon	33.985288	-118.47516	1326042045000
soccer	SouthCarolina	nikon	32.8709	-79.91984	1297482535000
soccer	Oklahoma	canon	36.109128	-95.983713	1241879473000
football	Connecticut	canon	41.136568	-73.366613	1379858164000
extreme	Colorado	other	39.752246	-104.888534	1254663480000
extreme	Virginia	nikon	38.565213	-78.374233	1315059971000
extreme	NorthCarolina	panasonic	35.225452	-75.636141	1364215768000
extreme	California	canon	33.964844	-116.583637	1266049122000
extreme	NewJersey	canon	41.040228	-74.265003	1298129343000
baseball	Massachusetts	other	42.346645	-71.098838	1244655406000
extreme	California	other	37.909228	-122.358233	1348402302000
running	Louisiana	other	29.961388	-90.065016	1236992727000
running	Pennsylvania	nikon	39.91929	-75.391852	1352722829000
extreme	California	canon	36.976758	-122.021219	1374419026000
extreme	Colorado	other	40.061016	-105.26329	1178455777000
running	California	canon	37.145916	-121.656675	1211805343000
extreme	DistrictofColumbia	nikon	38.924761	-77.034502	1303556507000
football	California	canon	37.868892	-122.255854	1280519330000
hockey	California	canon	33.80832	-117.877507	1294857157000
running	Michigan	other	44.712891	-83.272333	1251546161000
hockey	Massachusetts	panasonic	42.59587	-71.533688	1361051481000
extreme	Hawaii	other	20.799769	-156.332702	1231864439000
running	Massachusetts	nikon	42.57048	-71.602879	1339860794000
baseball	Michigan	nikon	42.341853	-85.150501	1153428750000
extreme	California	nikon	39.293	-120.4315	1312035293000
golf	Maryland	other	38.997399	-77.025232	1177865746000
baseball	Washington	apple	47.650333	-122.301166	1284824536000
